Taxonomy,WS1L1,WS1L2,WS1L3,WS1L4,WS2L1,WS2L2,WS2L3,WS2L4,WS3L1,WS3L2,WS3L3,WS3L4,BS1L1,BS1L2,BS1L3,BS1L4,BS2L1,BS2L3,BS2L4,BS3L1,BS3L2,BS3L3,BS3L4,BS2L2,Tax_detail
Pseudomonas,0.005529264,0.001327989,0.002173073,0.001062391,0,0.053602472,0.009778829,0.00142457,0.429037087,0.000193162,4.83E-05,0.013183311,0.003742515,0.028901874,0.003549353,0.025666409,0.000217307,0.00050705,0.002293799,0.002559397,0.000169017,0.000531196,9.66E-05,0.000796794,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;
Microcystis_PCC-7914,0.000289743,0.001158972,0.0122175,0.002704269,0.326661194,0.019799111,0,2.41E-05,0.003911532,0.011758741,0.023976241,0.013279892,0,0,0.000144872,0,0.000603631,0.000603631,0.005022214,0.00137628,0.000410469,0.001303844,0.001497006,0.00045876,k__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Microcystaceae;g__Microcystis_PCC-7914;
Limnohabitans,0.001327989,0.002438671,0.002173073,0.003187174,0.025328376,0.023324319,0.059276608,0.034600155,0.007629901,0.086512459,0.274410856,0.022624107,0.001014101,0.000796794,0.00325961,0.000603631,0.001231408,0.001158972,0.004056403,0.029722812,0.031123237,0.035252076,0.029408924,0.000434615,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Limnohabitans;
unidentified_Chloroplast,0.047276415,0.223609233,0.264945915,0.092886807,0.08330114,0.083953062,0.027887773,0.055413367,0.002100637,0.008571567,0.002317945,0.007798918,0.009513232,0.005384393,0.026245895,0.005674136,0.035903998,0.017891636,0.034551864,0.01028588,0.022382654,0.028612131,0.027501449,0.0290226,k__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Chloroplast;f__unidentified_Chloroplast;g__unidentified_Chloroplast;
Arenimonas,0.182248406,0.18910566,0.017650184,0.00371837,7.24E-05,0.001521151,0.000144872,0,0.000144872,7.24E-05,0,0.003621789,0.070431717,0.046479621,0.082721653,0.057200116,0.005505119,0.004104694,0.000144872,0.010672204,0.001014101,0.003597643,0.007388449,0.009971992,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Arenimonas;
hgcI_clade,0.013521344,0.076250724,0.014704462,0.058069345,0.044886034,0.078375507,0.033296311,0.156485416,0.175028974,0.177998841,0.106987638,0.117877149,0.00188333,0.000338034,0.002873286,0.001183118,0.001472861,0.001086537,0.005287811,0,0.004756616,0.000410469,0.000241453,0.000869229,k__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Frankiales;f__Sporichthyaceae;g__hgcI_clade;
Rhodoferax,0.008185242,0.005239521,0.004442727,0.0145113,0.082987251,0.030157427,0.066544331,0.051864014,0.012096774,0.041892022,0.039429206,0.038342669,0.005408538,0.033441182,0.007364304,0.038028781,0.014632026,0.014221557,0.012434808,0.020113,0.036193742,0.116790612,0.160879853,0.021440989,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Rhodoferax;
Leptothrix,7.24E-05,4.83E-05,0.000869229,0,0.006446784,0.000724358,0.036411049,0.009513232,0.002921576,0.149314275,0.003670079,0.000700212,0,0,0,0,0.000289743,0.000241453,0.000531196,9.66E-05,0.090158393,0.00376666,0,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Leptothrix;
Candidatus_Nitrotoga,0.132291868,0.000193162,0.007919645,0,0,0,0,0,0,0,0,0,0.003501062,0.00468418,0.012941858,0.005963879,0.000120726,0.000120726,0.000120726,0,0,0,0,0.000193162,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Gallionellaceae;g__Candidatus_Nitrotoga;
Flavobacterium,0.082214603,0.034865752,0.120508982,0.059349044,0.032909986,0.021706587,0.029626231,0.046503767,0.00840255,0.032861696,0.013690361,0.026946108,0.008233533,0.008668148,0.0033079,0.028443114,0.002728414,0.004297856,0.000748503,0.001714313,0.004829052,0.005094649,0.01028588,0.001931621,k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Flavobacterium;
