mSigma,Observed Intens,Observed m/z,calc. m/z,err mDa,err ppm,sum formula,C,H,N,O,S,
355.38,2617979,107.976175,107.976088,-0.087,-0.807,C H2 N O3 S    ,1,2,1,3,1,
-1000.00,1913007,114.030803,114.030900,0.097,0.852,C3 H4 N3 O2    ,3,4,3,2,0,
-1000.00,2148739,120.020348,120.020335,-0.013,-0.110,C5 H2 N3 O     ,5,2,3,1,0,
764.68,1942821,122.045977,122.045881,-0.096,-0.786,C3 H8 N O4     ,3,8,1,4,0,
-1000.00,1911826,129.030551,129.030566,0.015,0.114,C4 H5 N2 O3    ,4,5,2,3,0,
546.45,2142164,129.103426,129.103337,-0.089,-0.689,C6 H13 N2 O    ,6,13,2,1,0,
571.05,2002965,129.128413,129.128489,0.076,0.585,C8 H17 O       ,8,17,0,1,0,
523.13,1929393,137.003234,137.003288,0.054,0.397,C10 H O        ,10,1,0,1,0,
-1000.00,2483375,143.034973,143.034982,0.009,0.064,C6 H7 O4       ,6,7,0,4,0,
-1000.00,2044857,143.082730,143.082601,-0.129,-0.901,C6 H11 N2 O2   ,6,11,2,2,0,
584.33,2016120,145.007716,145.007722,0.006,0.044,C4 H5 N2 O2 S  ,4,5,2,2,1,
-1000.00,2017394,145.988289,145.988366,0.077,0.529,C7 N O3        ,7,0,1,3,0,
444.79,2099864,147.970936,147.971002,0.067,0.451,C3 H2 N O4 S   ,3,2,1,4,1,
-1000.00,1923101,147.986418,147.986258,-0.159,-1.076,C7 H2 N O S    ,7,2,1,1,1,
475.81,2134669,150.015689,150.015644,-0.045,-0.303,C2 H4 N3 O5    ,2,4,3,5,0,
-1000.00,2276575,151.040117,151.040068,-0.049,-0.327,C8 H7 O3       ,8,7,0,3,0,
-1000.00,1951637,155.035024,155.034982,-0.042,-0.272,C7 H7 O4       ,7,7,0,4,0,
-1000.00,2372622,155.978740,155.978590,-0.150,-0.962,C H2 N O8      ,1,2,1,8,0,
583.47,1998793,157.050638,157.050632,-0.006,-0.035,C7 H9 O4       ,7,9,0,4,0,
-1000.00,2083883,159.048430,159.048524,0.094,0.592,C7 H11 O2 S    ,7,11,0,2,1,
-1000.00,1960959,160.080242,160.080159,-0.083,-0.519,C7 H14 N O S   ,7,14,1,1,1,
504.87,2004140,161.003279,161.003288,0.009,0.055,C12 H O        ,12,1,0,1,0,
548.56,1952303,161.009099,161.009161,0.062,0.386,C5 H5 O6       ,5,5,0,6,0,
-1000.00,2235133,161.976657,161.976756,0.099,0.614,C6 N3 O S      ,6,0,3,1,1,
576.54,1967000,163.076466,163.076453,-0.013,-0.077,C10 H11 O2     ,10,11,0,2,0,
516.66,1938801,164.017627,164.017559,-0.069,-0.419,C8 H6 N O S    ,8,6,1,1,1,
467.59,2050058,164.067809,164.067679,-0.130,-0.789,C4 H10 N3 O4   ,4,10,3,4,0,
-1000.00,13606259,165.019341,165.019332,-0.009,-0.055,C8 H5 O4       ,8,5,0,4,0,
441.20,2261627,165.033986,165.033937,-0.049,-0.299,C4 H9 N2 O3 S  ,4,9,2,3,1,
436.05,3259526,165.055672,165.055718,0.046,0.277,C9 H9 O3       ,9,9,0,3,0,
389.09,2382085,166.980684,166.980839,0.154,0.924,C7 H3 O3 S     ,7,3,0,3,1,
307.13,3898274,167.035006,167.034982,-0.023,-0.139,C8 H7 O4       ,8,7,0,4,0,
